,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
0,The Godfather,1972,175 ,9.2,100        ,"1,994,924",$134.97M,Francis Ford Coppola,Marlon Brando,Crime
1,Goodfellas,1990,145 ,8.7,92        ,"1,246,216",$46.84M,Martin Scorsese,Robert De Niro,Biography
2,Pulp Fiction,1994,154 ,8.9,95        ,"2,199,299",$107.93M,Quentin Tarantino,John Travolta,Crime
3,The Usual Suspects,1995,106 ,8.5,76        ,"1,138,428",$23.34M,Bryan Singer,Kevin Spacey,Crime
4,Apocalypse Now,1979,147 ,8.4,94        ,"705,022",$83.47M,Francis Ford Coppola,Martin Sheen,Drama
5,Trainspotting,1996,93 ,8.1,83        ,"721,563",$16.50M,Danny Boyle,Ewan McGregor,Drama            
6,Fight Club,1999,139 ,8.8,67        ,"2,299,201",$37.03M,David Fincher,Brad Pitt,Drama            
7,Schindler's List,1993,195 ,9,95        ,"1,438,556",$96.90M,Steven Spielberg,Liam Neeson,Biography
8,Boogie Nights,1997,155 ,7.9,86        ,"280,618",$26.40M,Paul Thomas Anderson,Mark Wahlberg,Drama            
9,Reservoir Dogs,1992,99 ,8.3,81        ,"1,080,488",$2.83M,Quentin Tarantino,Harvey Keitel,Crime
10,The Shawshank Redemption,1994,142 ,9.3,82        ,"2,863,914",$28.34M,Frank Darabont,Tim Robbins,Drama            
11,Jaws,1975,124 ,8.1,87        ,"654,539",$260.00M,Steven Spielberg,Roy Scheider,Adventure
12,Taxi Driver,1976,114 ,8.2,94        ,"912,092",$28.26M,Martin Scorsese,Robert De Niro,Crime
13,L.A. Confidential,1997,138 ,8.2,91        ,"613,836",$64.62M,Curtis Hanson,Kevin Spacey,Crime
14,Back to the Future,1985,116 ,8.5,87        ,"1,295,635",$210.61M,Robert Zemeckis,Michael J. Fox,Adventure
15,The Godfather Part II,1974,202 ,9,90        ,"1,353,560",$57.30M,Francis Ford Coppola,Al Pacino,Crime
16,Fargo,1996,98 ,8.1,87        ,"721,085",$24.61M,Joel Coen,Ethan Coen,Crime
17,The Dark Knight,2008,152 ,9,84        ,"2,845,052",$534.86M,Christopher Nolan,Christian Bale,Action
18,The Matrix,1999,136 ,8.7,73        ,"2,034,762",$171.48M,Lana Wachowski,Lilly Wachowski,Action
19,Magnolia,1999,188 ,8,78        ,"326,869",$22.46M,Paul Thomas Anderson,Tom Cruise,Drama            
20,Scarface,1983,170 ,8.3,65        ,"908,396",$45.60M,Brian De Palma,Al Pacino,Crime
21,The Royal Tenenbaums,2001,110 ,7.6,76        ,"311,693",$52.36M,Wes Anderson,Gene Hackman,Comedy
22,Donnie Darko,2001,113 ,8,88        ,"844,848",$1.48M,Richard Kelly,Jake Gyllenhaal,Drama
23,Platoon,1986,120 ,8.1,92        ,"436,529",$138.53M,Oliver Stone,Charlie Sheen,Drama
24,Heat,1995,170 ,8.3,76        ,"713,140",$67.44M,Michael Mann,Al Pacino,Action
25,American Beauty,1999,122 ,8.3,84        ,"1,204,505",$130.10M,Sam Mendes,Kevin Spacey,Drama            
26,The Big Lebowski,1998,117 ,8.1,71        ,"854,931",$17.50M,Joel Coen,Ethan Coen,Comedy
27,Raging Bull,1980,129 ,8.1,90        ,"377,536",$23.38M,Martin Scorsese,Robert De Niro,Biography
28,Un prophète,2009,155 ,7.8,90        ,"101,853",$2.08M,Jacques Audiard,Tahar Rahim,Crime
29,The Departed,2006,151 ,8.5,85        ,"1,411,471",$132.38M,Martin Scorsese,Leonardo DiCaprio,Crime
30,There's Something About Mary,1998,119 ,7.1,69        ,"327,204",$176.48M,Bobby Farrelly,Peter Farrelly,Comedy
31,Léon,1994,110 ,8.5,64        ,"1,236,058",$19.50M,Luc Besson,Jean Reno,Action
32,Cidade de Deus,2002,130 ,8.6,79        ,"795,646",$7.56M,Fernando Meirelles,Kátia Lund,Crime
33,Once Upon a Time in America,1984,229 ,8.3,75        ,"374,966",$5.32M,Sergio Leone,Robert De Niro,Crime
34,"Lock, Stock and Two Smoking Barrels",1998,107 ,8.1,65        ,"612,487",$3.90M,Guy Ritchie,Jason Flemyng,Action
35,The Truman Show,1998,103 ,8.2,90        ,"1,183,165",$125.62M,Peter Weir,Jim Carrey,Comedy
36,Toy Story,1995,81 ,8.3,96        ,"1,060,506",$191.80M,John Lasseter,Tom Hanks,Animation
37,Alien,1979,117 ,8.5,89        ,"942,076",$78.90M,Ridley Scott,Sigourney Weaver,Horror
38,Rushmore,1998,93 ,7.6,87        ,"197,074",$17.11M,Wes Anderson,Jason Schwartzman,Comedy
39,Se7en,1995,127 ,8.6,65        ,"1,781,693",$100.13M,David Fincher,Morgan Freeman,Crime
40,Good Will Hunting,1997,126 ,8.3,71        ,"1,055,555",$138.43M,Gus Van Sant,Robin Williams,Drama
41,Aliens,1986,137 ,8.4,84        ,"757,488",$85.16M,James Cameron,Sigourney Weaver,Action
42,The Exorcist,1973,122 ,8.1,82        ,"451,484",$232.91M,William Friedkin,Ellen Burstyn,Horror            
43,One Flew Over the Cuckoo's Nest,1975,133 ,8.7,84        ,"1,065,255",$112.00M,Milos Forman,Jack Nicholson,Drama            
44,Chinatown,1974,130 ,8.1,92        ,"347,167",nan,Roman Polanski,Jack Nicholson,Drama
45,Casino,1995,178 ,8.2,73        ,"559,311",$42.44M,Martin Scorsese,Robert De Niro,Crime
46,True Romance,1993,119 ,7.9,59        ,"240,893",$12.28M,Tony Scott,Christian Slater,Crime
47,Gladiator,2000,155 ,8.5,67        ,"1,605,440",$187.71M,Ridley Scott,Russell Crowe,Action
48,Raiders of the Lost Ark,1981,115 ,8.4,86        ,"1,031,067",$248.16M,Steven Spielberg,Harrison Ford,Action
49,Miller's Crossing,1990,115 ,7.7,66        ,"141,385",$5.08M,Joel Coen,Ethan Coen,Crime
50,Being John Malkovich,1999,113 ,7.7,90        ,"351,789",$22.86M,Spike Jonze,John Cusack,Comedy
51,Die Hard,1988,132 ,8.2,72        ,"939,445",$83.01M,John McTiernan,Bruce Willis,Action
52,Casablanca,1942,102 ,8.5,100        ,"602,310",$1.02M,Michael Curtiz,Humphrey Bogart,Drama
53,Kick-Ass,2010,117 ,7.6,66        ,"590,149",$48.07M,Matthew Vaughn,Aaron Taylor-Johnson,Action
54,The Prestige,2006,130 ,8.5,66        ,"1,428,704",$53.09M,Christopher Nolan,Christian Bale,Drama
55,Inglourious Basterds,2009,153 ,8.4,69        ,"1,568,283",$120.54M,Quentin Tarantino,Brad Pitt,Adventure
56,Evil Dead II,1987,84 ,7.7,72        ,"180,794",$5.92M,Sam Raimi,Bruce Campbell,Comedy
57,Jurassic Park,1993,127 ,8.2,68        ,"1,058,383",$402.45M,Steven Spielberg,Sam Neill,Action
58,Batman Begins,2005,140 ,8.2,70        ,"1,565,982",$206.85M,Christopher Nolan,Christian Bale,Action
59,The Green Mile,1999,189 ,8.6,61        ,"1,395,130",$136.80M,Frank Darabont,Tom Hanks,Crime
60,The French Connection,1971,104 ,7.7,94        ,"134,525",$15.63M,William Friedkin,Gene Hackman,Action
61,Unforgiven,1992,130 ,8.2,85        ,"433,527",$101.16M,Clint Eastwood,Clint Eastwood,Drama
62,Drive, 2011,100 ,7.8,79        ,"699,057",$35.06M,Nicolas Winding Refn,Ryan Gosling,Action
63,The Shining,1980,146 ,8.4,68        ,"1,097,541",$44.02M,Stanley Kubrick,Jack Nicholson,Drama
64,The Evil Dead,1981,85 ,7.4,71        ,"231,051",$2.40M,Sam Raimi,Bruce Campbell,Horror            
65,Forrest Gump,1994,142 ,8.8,82        ,"2,235,805",$330.25M,Robert Zemeckis,Tom Hanks,Drama
66,The Thing,1982,109 ,8.2,57        ,"462,390",$13.78M,John Carpenter,Kurt Russell,Horror
